	pref	flag	fixed_num	recall	precision	fscore
0	tk	icho	50	0.1016949152542373	0.36363636363636365	0.15894039735099338
1	tk	icho	150	0.09836065573770492	0.41379310344827586	0.15894039735099336
2	tk	icho	250	0.09448818897637795	0.5	0.15894039735099336
3	tk	icho	500	0.06666666666666667	0.34782608695652173	0.1118881118881119
4	tk	kaede	50	0.0	0.0	0.0
5	tk	kaede	150	0.0	0.0	0.0
6	tk	kaede	250	0.0	0.0	0.0
7	tk	kaede	500	0.0	0.0	0.0
8	tk	sonota	50	0.10084033613445378	0.3870967741935484	0.16000000000000003
9	tk	sonota	150	0.09243697478991597	0.3793103448275862	0.14864864864864866
10	tk	sonota	250	0.07692307692307693	0.3333333333333333	0.125
11	tk	sonota	500	0.08264462809917356	0.4	0.136986301369863
12	tk	koyo	50	0.10743801652892562	0.41935483870967744	0.17105263157894735
13	tk	koyo	150	0.1092436974789916	0.3939393939393939	0.17105263157894737
14	tk	koyo	250	0.10743801652892562	0.41935483870967744	0.17105263157894735
15	tk	koyo	500	0.10483870967741936	0.4642857142857143	0.17105263157894737
16	hk	icho	50	0.0	0.0	0.0
17	hk	icho	150	0.009174311926605505	0.047619047619047616	0.015384615384615385
18	hk	icho	250	0.0	0.0	0.0
19	hk	icho	500	0.0	0.0	0.0
20	hk	kaede	50	0.0	0.0	0.0
21	hk	kaede	150	0.0	0.0	0.0
22	hk	kaede	250	0.0	0.0	0.0
23	hk	kaede	500	0.0	0.0	0.0
24	hk	sonota	50	0.021739130434782608	0.10526315789473684	0.03603603603603604
25	hk	sonota	150	0.0	0.0	0.0
26	hk	sonota	250	0.0	0.0	0.0
27	hk	sonota	500	0.0	0.0	0.0
28	hk	koyo	50	0.0	0.0	0.0
29	hk	koyo	150	0.03225806451612903	0.15	0.053097345132743355
30	hk	koyo	250	0.0	0.0	0.0
31	hk	koyo	500	0.0	0.0	0.0
32	is	icho	50	0.0	0.0	0.0
33	is	icho	150	0.0	0.0	0.0
34	is	icho	250	0.0	0.0	0.0
35	is	icho	500	0.0	0.0	0.0
36	is	kaede	50	0.0	0.0	0.0
37	is	kaede	150	0.0	0.0	0.0
38	is	kaede	250	0.0	0.0	0.0
39	is	kaede	500	0.0	0.0	0.0
40	is	sonota	50	0.0	0.0	0.0
41	is	sonota	150	0.01639344262295082	1.0	0.03225806451612903
42	is	sonota	250	0.024793388429752067	0.6	0.047619047619047616
43	is	sonota	500	0.0	0.0	0.0
44	is	koyo	50	0.0	0.0	0.0
45	is	koyo	150	0.01639344262295082	1.0	0.03225806451612903
46	is	koyo	250	0.01639344262295082	1.0	0.03225806451612903
47	is	koyo	500	0.0	0.0	0.0
48	tk	icho	50	0.1016949152542373	0.36363636363636365	0.15894039735099338
49	tk	icho	150	0.09836065573770492	0.41379310344827586	0.15894039735099336
50	tk	icho	250	0.09448818897637795	0.5	0.15894039735099336
51	tk	icho	500	0.06666666666666667	0.34782608695652173	0.1118881118881119
52	tk	kaede	50	0.0	0.0	0.0
53	tk	kaede	150	0.0	0.0	0.0
54	tk	kaede	250	0.0	0.0	0.0
55	tk	kaede	500	0.0	0.0	0.0
56	tk	sonota	50	0.10084033613445378	0.3870967741935484	0.16000000000000003
57	tk	sonota	150	0.09243697478991597	0.3793103448275862	0.14864864864864866
58	tk	sonota	250	0.07692307692307693	0.3333333333333333	0.125
59	tk	sonota	500	0.08264462809917356	0.4	0.136986301369863
60	tk	koyo	50	0.10743801652892562	0.41935483870967744	0.17105263157894735
61	tk	koyo	150	0.1092436974789916	0.3939393939393939	0.17105263157894737
62	tk	koyo	250	0.10743801652892562	0.41935483870967744	0.17105263157894735
63	tk	koyo	500	0.10483870967741936	0.4642857142857143	0.17105263157894737
64	hk	icho	50	0.0	0.0	0.0
65	hk	icho	150	0.009174311926605505	0.047619047619047616	0.015384615384615385
66	hk	icho	250	0.0	0.0	0.0
67	hk	icho	500	0.0	0.0	0.0
68	hk	kaede	50	0.0	0.0	0.0
69	hk	kaede	150	0.0	0.0	0.0
70	hk	kaede	250	0.0	0.0	0.0
71	hk	kaede	500	0.0	0.0	0.0
72	hk	sonota	50	0.021739130434782608	0.10526315789473684	0.03603603603603604
73	hk	sonota	150	0.0	0.0	0.0
74	hk	sonota	250	0.0	0.0	0.0
75	hk	sonota	500	0.0	0.0	0.0
76	hk	koyo	50	0.0	0.0	0.0
77	hk	koyo	150	0.03225806451612903	0.15	0.053097345132743355
78	hk	koyo	250	0.0	0.0	0.0
79	hk	koyo	500	0.0	0.0	0.0
80	is	icho	50	0.0	0.0	0.0
81	is	icho	150	0.0	0.0	0.0
82	is	icho	250	0.0	0.0	0.0
83	is	icho	500	0.0	0.0	0.0
84	is	kaede	50	0.0	0.0	0.0
85	is	kaede	150	0.0	0.0	0.0
86	is	kaede	250	0.0	0.0	0.0
87	is	kaede	500	0.0	0.0	0.0
88	is	sonota	50	0.0	0.0	0.0
89	is	sonota	150	0.01639344262295082	1.0	0.03225806451612903
90	is	sonota	250	0.024793388429752067	0.6	0.047619047619047616
91	is	sonota	500	0.0	0.0	0.0
92	is	koyo	50	0.0	0.0	0.0
93	is	koyo	150	0.01639344262295082	1.0	0.03225806451612903
94	is	koyo	250	0.01639344262295082	1.0	0.03225806451612903
95	is	koyo	500	0.0	0.0	0.0
96	tk	icho	50	0.1016949152542373	0.36363636363636365	0.15894039735099338
97	tk	icho	150	0.09836065573770492	0.41379310344827586	0.15894039735099336
98	tk	icho	250	0.09448818897637795	0.5	0.15894039735099336
99	tk	icho	500	0.06666666666666667	0.34782608695652173	0.1118881118881119
100	tk	kaede	50	0.0	0.0	0.0
101	tk	kaede	150	0.0	0.0	0.0
102	tk	kaede	250	0.0	0.0	0.0
103	tk	kaede	500	0.0	0.0	0.0
104	tk	sonota	50	0.10084033613445378	0.3870967741935484	0.16000000000000003
105	tk	sonota	150	0.09243697478991597	0.3793103448275862	0.14864864864864866
106	tk	sonota	250	0.07692307692307693	0.3333333333333333	0.125
107	tk	sonota	500	0.08264462809917356	0.4	0.136986301369863
108	tk	koyo	50	0.10743801652892562	0.41935483870967744	0.17105263157894735
109	tk	koyo	150	0.1092436974789916	0.3939393939393939	0.17105263157894737
110	tk	koyo	250	0.10743801652892562	0.41935483870967744	0.17105263157894735
111	tk	koyo	500	0.10483870967741936	0.4642857142857143	0.17105263157894737
112	hk	icho	50	0.0	0.0	0.0
113	hk	icho	150	0.009174311926605505	0.047619047619047616	0.015384615384615385
114	hk	icho	250	0.0	0.0	0.0
115	hk	icho	500	0.0	0.0	0.0
116	hk	kaede	50	0.0	0.0	0.0
117	hk	kaede	150	0.0	0.0	0.0
118	hk	kaede	250	0.0	0.0	0.0
119	hk	kaede	500	0.0	0.0	0.0
120	hk	sonota	50	0.021739130434782608	0.10526315789473684	0.03603603603603604
121	hk	sonota	150	0.0	0.0	0.0
122	hk	sonota	250	0.0	0.0	0.0
123	hk	sonota	500	0.0	0.0	0.0
124	hk	koyo	50	0.0	0.0	0.0
125	hk	koyo	150	0.03225806451612903	0.15	0.053097345132743355
126	hk	koyo	250	0.0	0.0	0.0
127	hk	koyo	500	0.0	0.0	0.0
128	is	icho	50	0.0	0.0	0.0
129	is	icho	150	0.0	0.0	0.0
130	is	icho	250	0.0	0.0	0.0
131	is	icho	500	0.0	0.0	0.0
132	is	kaede	50	0.0	0.0	0.0
133	is	kaede	150	0.0	0.0	0.0
134	is	kaede	250	0.0	0.0	0.0
135	is	kaede	500	0.0	0.0	0.0
136	is	sonota	50	0.0	0.0	0.0
137	is	sonota	150	0.01639344262295082	1.0	0.03225806451612903
138	is	sonota	250	0.024793388429752067	0.6	0.047619047619047616
139	is	sonota	500	0.0	0.0	0.0
140	is	koyo	50	0.0	0.0	0.0
141	is	koyo	150	0.01639344262295082	1.0	0.03225806451612903
142	is	koyo	250	0.01639344262295082	1.0	0.03225806451612903
143	is	koyo	500	0.0	0.0	0.0
144	tk	icho	50	0.10256410256410256	0.35294117647058826	0.15894039735099338
145	tk	icho	150	0.09917355371900827	0.4	0.15894039735099338
146	tk	icho	250	0.09523809523809523	0.48	0.15894039735099336
147	tk	icho	500	0.09016393442622951	0.4074074074074074	0.1476510067114094
148	tk	kaede	50	0.0	0.0	0.0
149	tk	kaede	150	0.0	0.0	0.0
150	tk	kaede	250	0.0	0.0	0.0
151	tk	kaede	500	0.0	0.0	0.0
152	tk	sonota	50	0.09401709401709402	0.3548387096774194	0.14864864864864866
153	tk	sonota	150	0.10655737704918032	0.43333333333333335	0.17105263157894735
154	tk	sonota	250	0.07758620689655173	0.32142857142857145	0.12500000000000003
155	tk	sonota	500	0.07627118644067797	0.34615384615384615	0.125
156	tk	koyo	50	0.10833333333333334	0.40625	0.17105263157894737
157	tk	koyo	150	0.10833333333333334	0.40625	0.17105263157894737
158	tk	koyo	250	0.10743801652892562	0.41935483870967744	0.17105263157894735
159	tk	koyo	500	0.10655737704918032	0.43333333333333335	0.17105263157894735
160	hk	icho	50	0.0	0.0	0.0
161	hk	icho	150	0.037383177570093455	0.13793103448275862	0.0588235294117647
162	hk	icho	250	0.0	0.0	0.0
163	hk	icho	500	0.0	0.0	0.0
164	hk	kaede	50	0.0	0.0	0.0
165	hk	kaede	150	0.0	0.0	0.0
166	hk	kaede	250	0.0	0.0	0.0
167	hk	kaede	500	0.0	0.0	0.0
168	hk	sonota	50	0.0625	0.2608695652173913	0.10084033613445378
169	hk	sonota	150	0.030927835051546393	0.1875	0.05309734513274336
170	hk	sonota	250	0.0	0.0	0.0
171	hk	sonota	500	0.0	0.0	0.0
172	hk	koyo	50	0.0	0.0	0.0
173	hk	koyo	150	0.03225806451612903	0.15	0.053097345132743355
174	hk	koyo	250	0.0	0.0	0.0
175	hk	koyo	500	0.0	0.0	0.0
176	is	icho	50	0.0	0.0	0.0
177	is	icho	150	0.0	0.0	0.0
178	is	icho	250	0.0	0.0	0.0
179	is	icho	500	0.0	0.0	0.0
180	is	kaede	50	0.0	0.0	0.0
181	is	kaede	150	0.0	0.0	0.0
182	is	kaede	250	0.0	0.0	0.0
183	is	kaede	500	0.0	0.0	0.0
184	is	sonota	50	0.0	0.0	0.0
185	is	sonota	150	0.008264462809917356	1.0	0.01639344262295082
186	is	sonota	250	0.025	0.5	0.047619047619047616
187	is	sonota	500	0.0	0.0	0.0
188	is	koyo	50	0.0	0.0	0.0
189	is	koyo	150	0.0	0.0	0.0
190	is	koyo	250	0.008264462809917356	1.0	0.01639344262295082
191	is	koyo	500	0.0	0.0	0.0
192	tk	icho	50	0.10256410256410256	0.35294117647058826	0.15894039735099338
193	tk	icho	150	0.09917355371900827	0.4	0.15894039735099338
194	tk	icho	250	0.09523809523809523	0.48	0.15894039735099336
195	tk	icho	500	0.09016393442622951	0.4074074074074074	0.1476510067114094
196	tk	kaede	50	0.0	0.0	0.0
197	tk	kaede	150	0.0	0.0	0.0
198	tk	kaede	250	0.0	0.0	0.0
199	tk	kaede	500	0.0	0.0	0.0
200	tk	sonota	50	0.09401709401709402	0.3548387096774194	0.14864864864864866
201	tk	sonota	150	0.10655737704918032	0.43333333333333335	0.17105263157894735
202	tk	sonota	250	0.07758620689655173	0.32142857142857145	0.12500000000000003
203	tk	sonota	500	0.07627118644067797	0.34615384615384615	0.125
204	tk	koyo	50	0.10833333333333334	0.40625	0.17105263157894737
205	tk	koyo	150	0.10833333333333334	0.40625	0.17105263157894737
206	tk	koyo	250	0.10743801652892562	0.41935483870967744	0.17105263157894735
207	tk	koyo	500	0.10655737704918032	0.43333333333333335	0.17105263157894735
208	hk	icho	50	0.0	0.0	0.0
209	hk	icho	150	0.037383177570093455	0.13793103448275862	0.0588235294117647
210	hk	icho	250	0.0	0.0	0.0
211	hk	icho	500	0.0	0.0	0.0
212	hk	kaede	50	0.0	0.0	0.0
213	hk	kaede	150	0.0	0.0	0.0
214	hk	kaede	250	0.0	0.0	0.0
215	hk	kaede	500	0.0	0.0	0.0
216	hk	sonota	50	0.0625	0.2608695652173913	0.10084033613445378
217	hk	sonota	150	0.030927835051546393	0.1875	0.05309734513274336
218	hk	sonota	250	0.0	0.0	0.0
219	hk	sonota	500	0.0	0.0	0.0
220	hk	koyo	50	0.0	0.0	0.0
221	hk	koyo	150	0.03225806451612903	0.15	0.053097345132743355
222	hk	koyo	250	0.0	0.0	0.0
